,State,Country,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active
169,Quindio,Colombia,2021-04-24 09:20:58,4.461,-75.6674,38205,36162,1135,908
170,Risaralda,Colombia,2021-04-24 09:20:58,5.3158,-75.9928,54904,51731,1325,1848
171,San Andres y Providencia,Colombia,2021-04-24 09:20:58,12.5567,-81.7185,3294,3112,50,132
172,Santander,Colombia,2021-04-24 09:20:58,6.6437,-73.6536,100313,94150,3601,2562
173,Sucre,Colombia,2021-04-24 09:20:58,8.814,-74.7233,26313,24491,946,876
174,Tolima,Colombia,2021-04-24 09:20:58,4.0925,-75.1545,68477,65316,2194,967
175,Unknown,Colombia,2021-04-24 09:20:58,,,0,0,0,0
176,Valle del Cauca,Colombia,2021-04-24 09:20:58,3.8009,-76.6413,229982,216757,7041,6184
177,Vaupes,Colombia,2021-04-24 09:20:58,0.8554,-70.812,1216,1195,13,8
178,Vichada,Colombia,2021-04-24 09:20:58,4.4234,-69.2878,1529,1500,23,6
179,,Comoros,2021-04-24 09:20:58,-11.6455,43.3333,3829,3650,146,33
180,,Congo (Brazzaville),2021-04-24 09:20:58,-0.228,15.8277,10084,8208,139,1737
181,,Congo (Kinshasa),2021-04-24 09:20:58,-4.0383,21.7587,29405,26135,752,2518
182,,Costa Rica,2021-04-24 09:20:58,9.7489,-83.7534,236930,199982,3136,33812
183,,Cote d'Ivoire,2021-04-24 09:20:58,7.54,-5.5471,45765,45311,279,175
184,,Croatia,2021-04-24 09:20:58,45.1,15.2,318837,295885,6784,16168
185,,Cuba,2021-04-24 09:20:58,21.521757,-77.781167,99208,92960,569,5679
186,,Cyprus,2021-04-24 09:20:58,35.1264,33.4299,60681,39061,297,21323
187,,Czechia,2021-04-24 09:20:58,49.8175,15.473,1618068,1524041,28920,65107
188,,Denmark,2021-04-24 09:20:58,56.2639,9.5018,246463,234341,2472,9650
189,Faroe Islands,Denmark,2021-04-24 09:20:58,61.8926,-6.9118,663,661,1,1
190,Greenland,Denmark,2021-04-24 09:20:58,71.7069,-42.6043,31,31,0,0
191,,Diamond Princess,2021-04-24 09:20:58,,,712,699,13,0
192,,Djibouti,2021-04-24 09:20:58,11.8251,42.5903,10738,10207,132,399
193,,Dominica,2021-04-24 09:20:58,15.415,-61.371,173,171,0,2
194,,Dominican Republic,2021-04-24 09:20:58,18.7357,-70.1627,263470,220678,3448,39344
195,,Ecuador,2021-04-24 09:20:58,-1.8312,-78.1834,371306,309541,18062,43703
196,,Egypt,2021-04-24 09:20:58,26.820553,30.802498,220658,166024,12959,41675
197,,El Salvador,2021-04-24 09:20:58,13.7942,-88.8965,68318,64340,2098,1880
198,,Equatorial Guinea,2021-04-24 09:20:58,1.6508,10.2679,7559,7097,107,355
199,,Eritrea,2021-04-24 09:20:58,15.1794,39.7823,3605,3410,10,185
200,,Estonia,2021-04-24 09:20:58,58.5953,25.0136,120000,107298,1137,11565
201,,Eswatini,2021-04-24 09:20:58,-26.5225,31.4659,18434,17730,671,33
202,,Ethiopia,2021-04-24 09:20:58,9.145,40.4897,249292,188080,3511,57701
203,,Fiji,2021-04-24 09:20:58,-17.7134,178.065,87,65,2,20
204,,Finland,2021-04-24 09:20:58,61.92411,25.748151,85344,46000,903,38441
205,,France,2021-04-24 09:20:58,46.2276,2.2137,5399600,296453,101830,5001317
206,French Guiana,France,2021-04-24 09:20:58,4.0,-53.0,18545,9995,96,8454
207,French Polynesia,France,2021-04-24 09:20:58,-17.6797,-149.4068,18725,4842,141,13742
208,Guadeloupe,France,2021-04-24 09:20:58,16.265,-61.551,12927,2242,194,10491
209,Martinique,France,2021-04-24 09:20:58,14.6415,-61.0242,9758,98,66,9594
210,Mayotte,France,2021-04-24 09:20:58,-12.8275,45.166244,19849,2964,169,16716
211,New Caledonia,France,2021-04-24 09:20:58,-20.904305,165.618042,124,58,0,66
212,Reunion,France,2021-04-24 09:20:58,-21.1151,55.5364,19343,17653,141,1549
213,Saint Barthelemy,France,2021-04-24 09:20:58,17.9,-62.8333,958,462,1,495
214,Saint Pierre and Miquelon,France,2021-04-24 09:20:58,46.8852,-56.3159,25,24,0,1
215,St Martin,France,2021-04-24 09:20:58,18.0708,-63.0501,1720,1399,12,309
216,Wallis and Futuna,France,2021-04-24 09:20:58,-14.2938,-178.1165,440,44,5,391
217,,Gabon,2021-04-24 09:20:58,-0.8037,11.6094,22433,19074,138,3221
218,,Gambia,2021-04-24 09:20:58,13.4432,-15.3101,5820,5272,173,375
219,,Georgia,2021-04-24 09:20:58,42.3154,43.3569,302785,284749,4007,14029
220,Baden-Wurttemberg,Germany,2021-04-24 09:20:58,48.6616,9.3501,424960,373900,9201,41859
221,Bayern,Germany,2021-04-24 09:20:58,48.7904,11.4979,574876,509700,13957,51219
222,Berlin,Germany,2021-04-24 09:20:58,52.52,13.405,163676,150100,3180,10396
223,Brandenburg,Germany,2021-04-24 09:20:58,52.4125,12.5316,99514,88280,3498,7736
224,Bremen,Germany,2021-04-24 09:20:58,53.0793,8.8017,24380,21800,445,2135
225,Hamburg,Germany,2021-04-24 09:20:58,53.5511,9.9937,69925,60790,1456,7679
226,Hessen,Germany,2021-04-24 09:20:58,50.6521,9.1624,253605,222200,6733,24672
227,Mecklenburg-Vorpommern,Germany,2021-04-24 09:20:58,53.6127,12.4296,38254,33190,962,4102
228,Niedersachsen,Germany,2021-04-24 09:20:58,52.6367,9.8451,229651,206700,5209,17742
229,Nordrhein-Westfalen,Germany,2021-04-24 09:20:58,51.4332,7.6616,709522,624000,15201,70321
230,Rheinland-Pfalz,Germany,2021-04-24 09:20:58,50.1183,7.309,135024,118000,3513,13511
231,Saarland,Germany,2021-04-24 09:20:58,49.3964,7.023,35985,32590,962,2433
232,Sachsen,Germany,2021-04-24 09:20:58,51.1045,13.2017,253699,224900,8909,19890
233,Sachsen-Anhalt,Germany,2021-04-24 09:20:58,51.9503,11.6923,87040,76510,3034,7496
234,Schleswig-Holstein,Germany,2021-04-24 09:20:58,54.2194,9.6961,57021,50790,1496,4735
235,Thuringen,Germany,2021-04-24 09:20:58,51.011,10.8453,111876,98140,3736,10000
236,Unknown,Germany,2021-04-24 09:20:58,,,7863,0,0,7863
237,,Ghana,2021-04-24 09:20:58,7.9465,-1.0232,91928,89729,777,1422
238,,Greece,2021-04-24 09:20:58,39.0742,21.8243,329134,93764,9864,225506
239,,Grenada,2021-04-24 09:20:58,12.1165,-61.679,159,155,1,3
240,,Guatemala,2021-04-24 09:20:58,15.7835,-90.2308,219789,194964,7374,17451
241,,Guinea,2021-04-24 09:20:58,9.9456,-9.6966,21803,19107,139,2557
242,,Guinea-Bissau,2021-04-24 09:20:58,11.8037,-15.1804,3722,3222,66,434
243,,Guyana,2021-04-24 09:20:58,4.860416,-58.93018,12448,10619,277,1552
244,,Haiti,2021-04-24 09:20:58,18.9712,-72.2852,12944,11945,251,748
245,,Holy See,2021-04-24 09:20:58,41.9029,12.4534,27,15,0,12
246,,Honduras,2021-04-24 09:20:58,15.2,-86.2419,205696,77531,5095,123070
247,,Hungary,2021-04-24 09:20:58,47.1625,19.5033,767190,478323,26420,262447
248,,Iceland,2021-04-24 09:20:58,64.9631,-19.0208,6390,6227,29,134
249,Andaman and Nicobar Islands,India,2021-04-24 09:20:58,11.225999,92.968178,5569,5358,65,146
250,Andhra Pradesh,India,2021-04-24 09:20:58,15.9129,79.74,1009228,927418,7579,74231
251,Arunachal Pradesh,India,2021-04-24 09:20:58,27.768456,96.384277,17430,16921,56,453
252,Assam,India,2021-04-24 09:20:58,26.357149,92.830441,233453,218339,1172,13942
253,Bihar,India,2021-04-24 09:20:58,25.679658,85.60484,378442,300012,2010,76420
254,Chandigarh,India,2021-04-24 09:20:58,30.733839,76.768278,37232,32180,430,4622
255,Chhattisgarh,India,2021-04-24 09:20:58,21.264705,82.035366,622965,492593,6893,123479
256,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-24 09:20:58,20.194742,73.080901,6142,4353,4,1785
257,Delhi,India,2021-04-24 09:20:58,28.646519,77.10898,980679,875109,13541,92029
258,Goa,India,2021-04-24 09:20:58,15.359682,74.057396,73644,61628,976,11040
259,Gujarat,India,2021-04-24 09:20:58,22.694884,71.590923,467640,361493,6019,100128
260,Haryana,India,2021-04-24 09:20:58,29.20004,76.332824,402843,335143,3643,64057
261,Himachal Pradesh,India,2021-04-24 09:20:58,31.927213,77.233081,84065,70539,1280,12246
262,Jammu and Kashmir,India,2021-04-24 09:20:58,33.75943,76.612638,156344,137240,2111,16993
263,Jharkhand,India,2021-04-24 09:20:58,23.654536,85.557631,190692,145499,1778,43415
264,Karnataka,India,2021-04-24 09:20:58,14.70518,76.166436,1274959,1046554,14075,214330
265,Kerala,India,2021-04-24 09:20:58,10.450898,76.405749,1350501,1166135,5055,179311
266,Ladakh,India,2021-04-24 09:20:58,34.1526,77.5771,13089,10920,135,2034
267,Lakshadweep,India,2021-04-24 09:20:58,13.6999972,72.1833326,1805,884,1,920
268,Madhya Pradesh,India,2021-04-24 09:20:58,23.541513,78.289633,472785,380208,4937,87640
269,Maharashtra,India,2021-04-24 09:20:58,19.449759,76.108221,4161676,3404792,63252,693632
270,Manipur,India,2021-04-24 09:20:58,24.738975,93.882541,30151,29180,381,590
271,Meghalaya,India,2021-04-24 09:20:58,25.536934,91.278882,15631,14236,157,1238
272,Mizoram,India,2021-04-24 09:20:58,23.309381,92.83822,5283,4627,12,644
273,Nagaland,India,2021-04-24 09:20:58,26.06702,94.470302,12889,12338,94,457
274,Odisha,India,2021-04-24 09:20:58,20.505428,84.418059,394694,356003,1973,36718
275,Puducherry,India,2021-04-24 09:20:58,11.882658,78.86498,51372,44314,728,6330
276,Punjab,India,2021-04-24 09:20:58,30.841465,75.40879,326447,274240,8264,43943
277,Rajasthan,India,2021-04-24 09:20:58,26.583423,73.847973,483273,362526,3453,117294
278,Sikkim,India,2021-04-24 09:20:58,27.571671,88.472712,7037,6207,137,693
279,Tamil Nadu,India,2021-04-24 09:20:58,11.006091,78.400624,1051487,943044,13395,95048
280,Telangana,India,2021-04-24 09:20:58,18.1124,79.0193,387106,326997,1961,58148
281,Tripura,India,2021-04-24 09:20:58,23.746783,91.743565,34429,33390,394,645
282,Unknown,India,2021-04-24 09:20:58,,,0,0,0,0
283,Uttar Pradesh,India,2021-04-24 09:20:58,26.925425,80.560982,1013370,728980,10737,273653
284,Uttarakhand,India,2021-04-24 09:20:58,30.156447,79.197608,142349,110379,2021,29949
285,West Bengal,India,2021-04-24 09:20:58,23.814082,87.979803,713780,628218,10825,74737
286,,Indonesia,2021-04-24 09:20:58,-0.7893,113.9213,1632248,1487369,44346,100533
287,,Iran,2021-04-24 09:20:58,32.427908,53.688046,2358809,1850791,68746,439272
288,,Iraq,2021-04-24 09:20:58,33.223191,43.679291,1018321,891007,15174,112140
289,,Ireland,2021-04-24 09:20:58,53.1424,-7.6921,245743,23364,4867,217512
290,,Israel,2021-04-24 09:20:58,31.046051,34.851612,837892,829696,6346,1850
291,Abruzzo,Italy,2021-04-24 09:20:58,42.35122196,13.39843823,70203,58607,2360,9236
292,Basilicata,Italy,2021-04-24 09:20:58,40.63947052,15.80514834,22968,16357,513,6098
293,Calabria,Italy,2021-04-24 09:20:58,38.90597598,16.59440194,57078,41530,975,14573
294,Campania,Italy,2021-04-24 09:20:58,40.83956555,14.25084984,379262,281092,6144,92026
295,Emilia-Romagna,Italy,2021-04-24 09:20:58,44.49436681,11.3417208,362801,295521,12731,54549
296,Friuli Venezia Giulia,Italy,2021-04-24 09:20:58,45.6494354,13.76813649,104049,91773,3645,8631
297,Lazio,Italy,2021-04-24 09:20:58,41.89277044,12.48366722,316047,261777,7468,46802
298,Liguria,Italy,2021-04-24 09:20:58,44.41149315,8.9326992,97650,87265,4119,6266
299,Lombardia,Italy,2021-04-24 09:20:58,45.46679409,9.190347404,791137,702119,32569,56449
300,Marche,Italy,2021-04-24 09:20:58,43.61675973,13.5188753,95834,86052,2896,6886
301,Molise,Italy,2021-04-24 09:20:58,41.55774754,14.65916051,13028,11941,467,620
302,P.A. Bolzano,Italy,2021-04-24 09:20:58,46.49933453,11.35662422,70730,68900,1158,672
303,P.A. Trento,Italy,2021-04-24 09:20:58,46.06893511,11.12123097,43468,40896,1333,1239
